ty_channel,ty_brand,ty_class,ty_category,ty_sales,ty_number_sales,ly_channel,ly_brand,ly_class,ly_category,ly_sales,ly_number_sales
store,1001001,1,1,55189.53,24,store,1001001,1,1,1252999.48,352
store,1001001,1,3,43660.59,10,store,1001001,1,3,27983.40,7
store,1001001,1,4,94429.54,26,store,1001001,1,4,19554.23,5
store,1001001,1,5,52251.75,9,store,1001001,1,5,40747.87,13
store,1001001,1,6,46074.83,12,store,1001001,1,6,12240.56,3
store,1001001,1,7,30305.50,11,store,1001001,1,7,69916.34,11
store,1001001,1,8,58869.65,16,store,1001001,1,8,11500.78,2
store,1001001,1,9,68317.27,15,store,1001001,1,9,23531.09,6
store,1001001,1,10,84082.84,21,store,1001001,1,10,36359.80,8
store,1001001,2,2,60400.87,16,store,1001001,2,2,29192.23,8
store,1001001,2,3,12659.25,7,store,1001001,2,3,11093.60,5
store,1001001,3,2,61719.05,14,store,1001001,3,2,9852.11,7
store,1001001,3,4,11748.00,6,store,1001001,3,4,35727.11,6
store,1001001,3,10,5456.96,2,store,1001001,3,10,17337.27,5
store,1001001,4,1,46551.88,7,store,1001001,4,1,46905.80,9
store,1001001,4,2,10181.57,4,store,1001001,4,2,4862.19,2
store,1001001,4,3,24405.96,7,store,1001001,4,3,15830.91,4
store,1001001,4,4,18671.98,6,store,1001001,4,4,29703.08,8
store,1001001,5,9,31725.22,6,store,1001001,5,9,27044.55,7
store,1001001,5,10,11922.87,6,store,1001001,5,10,8554.47,3
store,1001001,6,9,19722.23,4,store,1001001,6,9,21939.30,7
store,1001001,11,9,58593.44,10,store,1001001,11,9,17565.68,9
store,1001001,15,9,33258.84,7,store,1001001,15,9,9079.22,3
store,1001001,15,10,18347.20,6,store,1001001,15,10,25804.89,6
store,1001001,16,8,7378.01,4,store,1001001,16,8,23798.20,6
store,1001002,1,1,1995361.72,551,store,1001002,1,1,1703168.36,456
store,1001002,2,1,147369.62,30,store,1001002,2,1,56409.67,15
store,1001002,3,1,154171.48,44,store,1001002,3,1,78937.94,18
store,1001002,4,1,121097.53,34,store,1001002,4,1,27982.11,7
store,1001002,6,1,17371.72,7,store,1001002,6,1,42560.42,9
store,1001002,7,1,44269.41,8,store,1001002,7,1,30573.80,7
store,1001002,8,1,20791.29,5,store,1001002,8,1,19877.43,8
store,1001002,9,1,6162.75,3,store,1001002,9,1,17284.68,2
store,1001002,11,1,21824.09,4,store,1001002,11,1,6434.40,1
store,1001002,12,1,44051.42,11,store,1001002,12,1,19697.75,5
store,1002001,1,1,32079.06,8,store,1002001,1,1,8349.12,3
store,1002001,1,2,30930.52,9,store,1002001,1,2,45392.83,12
store,1002001,1,6,11452.18,6,store,1002001,1,6,6689.46,3
store,1002001,2,1,70464.41,22,store,1002001,2,1,1266766.13,371
store,1002001,2,2,159630.67,41,store,1002001,2,2,88915.14,12
store,1002001,2,3,14733.63,4,store,1002001,2,3,16306.22,5
store,1002001,2,4,54375.13,11,store,1002001,2,4,24496.39,6
store,1002001,2,5,57857.69,13,store,1002001,2,5,12410.28,4
store,1002001,2,6,39382.19,10,store,1002001,2,6,32701.06,8
store,1002001,2,7,113711.71,30,store,1002001,2,7,42390.67,9
store,1002001,2,8,107231.30,27,store,1002001,2,8,42361.18,10
store,1002001,2,9,65467.42,21,store,1002001,2,9,44781.95,7
store,1002001,2,10,46337.13,12,store,1002001,2,10,43317.72,14
store,1002001,3,7,9007.86,4,store,1002001,3,7,28109.30,5
store,1002001,4,3,14821.75,5,store,1002001,4,3,13609.38,2
store,1002001,5,9,9652.58,3,store,1002001,5,9,23686.50,4
store,1002001,5,10,14732.22,3,store,1002001,5,10,12787.49,6
store,1002001,10,6,15892.64,3,store,1002001,10,6,13705.45,2
store,1002001,11,9,19038.05,3,store,1002001,11,9,8416.76,5
store,1002001,13,7,5670.15,4,store,1002001,13,7,9445.76,3
store,1002002,1,1,107400.14,30,store,1002002,1,1,59258.55,17
store,1002002,2,1,2003851.66,508,store,1002002,2,1,1562915.33,440
store,1002002,3,1,81663.88,20,store,1002002,3,1,51646.22,12
store,1002002,4,1,81874.35,15,store,1002002,4,1,27437.95,8
store,1002002,6,1,8228.78,5,store,1002002,6,1,24291.61,6
store,1002002,7,1,11135.84,3,store,1002002,7,1,13937.99,5
store,1002002,9,1,15510.82,7,store,1002002,9,1,31753.10,9
store,1002002,11,1,12800.10,4,store,1002002,11,1,20608.84,7
store,1002002,12,1,24368.31,9,store,1002002,12,1,18227.76,4
store,1002002,13,1,39172.84,15,store,1002002,13,1,35938.29,11
store,1002002,15,1,73939.35,13,store,1002002,15,1,37519.58,7
store,1003001,2,1,20617.12,4,store,1003001,2,1,31334.46,8
store,1003001,2,3,19730.11,5,store,1003001,2,3,10922.40,1
store,1003001,2,4,24209.95,6,store,1003001,2,4,4950.70,1
store,1003001,3,1,77575.98,14,store,1003001,3,1,1086125.17,288
store,1003001,3,2,52621.16,16,store,1003001,3,2,29932.55,6
store,1003001,3,3,41946.77,12,store,1003001,3,3,15929.35,5
store,1003001,3,4,110644.28,28,store,1003001,3,4,4812.45,4
