ca_zip,sum
null,4731.18
30069     ,2512.11
30116     ,668.47
30125     ,358.41
30150     ,2051.78
30162     ,1841.48
30169     ,3120.53
30191     ,534.96
30319     ,321.93
30399     ,2277.57
30408     ,919.40
30411     ,523.06
30499     ,2855.62
30534     ,325.86
30573     ,805.77
30587     ,1256.17
30631     ,321.68
30725     ,444.98
30732     ,781.78
30919     ,143.60
31087     ,1561.62
31150     ,744.38
31387     ,511.34
31521     ,1072.68
31620     ,162.08
31669     ,1002.40
31675     ,339.87
31711     ,404.47
31749     ,2063.38
31757     ,1663.92
31852     ,945.21
31854     ,311.00
31904     ,834.64
31933     ,222.84
31952     ,1852.03
32123     ,256.26
32150     ,429.03
32284     ,759.06
32293     ,1366.51
32477     ,1514.13
32808     ,1071.40
32812     ,2058.54
32898     ,988.49
32924     ,549.43
33003     ,1999.18
33027     ,224.06
33235     ,700.96
33301     ,263.71
33372     ,739.37
33394     ,1332.39
33425     ,569.53
33451     ,1966.64
33511     ,2121.42
33604     ,946.60
33628     ,899.75
33683     ,1215.94
33790     ,710.00
33868     ,713.11
33951     ,1644.01
34027     ,926.09
34074     ,477.05
34092     ,1036.87
34107     ,1048.06
34136     ,1657.07
34174     ,462.56
34190     ,444.02
34240     ,324.94
34244     ,3138.10
34289     ,888.54
34338     ,3513.34
34466     ,460.93
34536     ,1577.05
34593     ,450.54
34854     ,1999.99
34975     ,1797.82
35038     ,2944.56
35115     ,275.92
35124     ,1556.68
35281     ,1626.96
35495     ,945.51
35508     ,602.74
35669     ,540.95
35709     ,807.78
35752     ,1323.13
35802     ,800.25
35804     ,920.70
35817     ,691.31
36000     ,511.96
36060     ,2154.11
36098     ,608.55
36115     ,573.60
36192     ,963.15
36277     ,514.26
36457     ,107.91
36534     ,1237.25
36557     ,825.13
36575     ,1075.16
36614     ,1339.06
36668     ,647.48
36787     ,3165.33
