i_manufact_id,total_sales
464,42.94
864,2498.58
814,2999.80
868,4362.02
821,4895.63
925,6092.02
899,6902.66
974,7413.31
687,8023.90
803,8084.57
530,8598.59
838,8717.33
881,10795.50
683,10880.45
857,10946.96
869,12279.13
667,12291.86
999,12403.29
938,12478.38
825,12510.03
815,12885.48
913,13080.30
696,13512.65
686,14033.19
836,14622.46
755,14749.01
670,14896.80
779,14998.40
719,15060.37
990,15332.03
738,15573.77
810,16758.22
837,17202.79
697,17244.01
879,17280.94
685,17569.48
972,17690.83
989,17874.69
743,18197.68
678,18228.23
903,18239.92
694,18340.61
820,18501.20
692,18614.14
782,18861.90
951,18966.19
906,19046.40
718,19110.94
728,19858.61
783,20338.37
788,20349.49
674,20744.13
911,20855.64
777,21163.19
848,21400.68
701,21517.60
945,21554.41
765,21689.47
832,21773.01
784,21781.13
772,22100.90
968,22175.36
963,22502.13
841,22769.63
917,23176.15
752,23345.26
858,24010.67
724,24107.19
760,25125.11
851,25333.66
744,25468.91
863,25517.83
809,25687.22
931,25809.09
761,25847.36
961,26610.47
865,26787.80
830,26862.76
922,27244.24
726,27374.54
897,27377.75
993,27454.59
666,27739.38
759,28180.73
342,28344.91
582,28358.08
929,28894.31
854,29694.30
549,29805.20
828,29859.68
970,30297.28
488,30442.25
856,30541.10
474,30687.90
523,31340.30
774,31600.78
992,31909.42
440,32144.23
839,32310.28
997,32601.51
