ca_state,cd_gender,cd_marital_status,cd_dep_count,cnt1,avg,min,stddev_samp,cd_dep_employed_count,cnt2,avg,min,stddev_samp,cd_dep_college_count,cnt3,avg,min,stddev_samp
null,F,D,0,1,0.00000000000000000000,0,null,4,1,4.0000000000000000,4,null,3,1,3.0000000000000000,3,null
null,F,D,0,1,0.00000000000000000000,0,null,5,1,5.0000000000000000,5,null,1,1,1.00000000000000000000,1,null
null,F,D,1,1,1.00000000000000000000,1,null,1,1,1.00000000000000000000,1,null,5,1,5.0000000000000000,5,null
null,F,D,1,1,1.00000000000000000000,1,null,4,1,4.0000000000000000,4,null,0,1,0.00000000000000000000,0,null
null,F,D,1,1,1.00000000000000000000,1,null,4,1,4.0000000000000000,4,null,3,1,3.0000000000000000,3,null
null,F,D,1,1,1.00000000000000000000,1,null,4,1,4.0000000000000000,4,null,4,1,4.0000000000000000,4,null
null,F,D,1,1,1.00000000000000000000,1,null,6,1,6.0000000000000000,6,null,0,1,0.00000000000000000000,0,null
null,F,D,1,1,1.00000000000000000000,1,null,6,1,6.0000000000000000,6,null,2,1,2.0000000000000000,2,null
null,F,D,2,1,2.0000000000000000,2,null,3,1,3.0000000000000000,3,null,6,1,6.0000000000000000,6,null
null,F,D,2,1,2.0000000000000000,2,null,4,1,4.0000000000000000,4,null,0,1,0.00000000000000000000,0,null
null,F,D,2,1,2.0000000000000000,2,null,4,1,4.0000000000000000,4,null,3,1,3.0000000000000000,3,null
null,F,D,2,1,2.0000000000000000,2,null,4,1,4.0000000000000000,4,null,4,1,4.0000000000000000,4,null
null,F,D,3,1,3.0000000000000000,3,null,0,1,0.00000000000000000000,0,null,3,1,3.0000000000000000,3,null
null,F,D,3,1,3.0000000000000000,3,null,1,1,1.00000000000000000000,1,null,1,1,1.00000000000000000000,1,null
null,F,D,3,1,3.0000000000000000,3,null,3,1,3.0000000000000000,3,null,3,1,3.0000000000000000,3,null
null,F,D,3,1,3.0000000000000000,3,null,5,1,5.0000000000000000,5,null,2,1,2.0000000000000000,2,null
null,F,D,3,1,3.0000000000000000,3,null,5,1,5.0000000000000000,5,null,3,1,3.0000000000000000,3,null
null,F,D,4,1,4.0000000000000000,4,null,0,1,0.00000000000000000000,0,null,1,1,1.00000000000000000000,1,null
null,F,D,4,1,4.0000000000000000,4,null,0,1,0.00000000000000000000,0,null,6,1,6.0000000000000000,6,null
null,F,D,4,1,4.0000000000000000,4,null,2,1,2.0000000000000000,2,null,1,1,1.00000000000000000000,1,null
null,F,D,4,1,4.0000000000000000,4,null,3,1,3.0000000000000000,3,null,6,1,6.0000000000000000,6,null
null,F,D,4,1,4.0000000000000000,4,null,4,1,4.0000000000000000,4,null,3,1,3.0000000000000000,3,null
null,F,D,4,1,4.0000000000000000,4,null,5,1,5.0000000000000000,5,null,2,1,2.0000000000000000,2,null
null,F,D,4,1,4.0000000000000000,4,null,6,1,6.0000000000000000,6,null,1,1,1.00000000000000000000,1,null
null,F,D,4,2,4.0000000000000000,4,0,6,2,6.0000000000000000,6,0,5,2,5.0000000000000000,5,0
null,F,D,5,1,5.0000000000000000,5,null,1,1,1.00000000000000000000,1,null,6,1,6.0000000000000000,6,null
null,F,D,5,1,5.0000000000000000,5,null,2,1,2.0000000000000000,2,null,0,1,0.00000000000000000000,0,null
null,F,D,5,1,5.0000000000000000,5,null,3,1,3.0000000000000000,3,null,3,1,3.0000000000000000,3,null
null,F,D,5,1,5.0000000000000000,5,null,4,1,4.0000000000000000,4,null,3,1,3.0000000000000000,3,null
null,F,D,5,1,5.0000000000000000,5,null,5,1,5.0000000000000000,5,null,2,1,2.0000000000000000,2,null
null,F,D,5,1,5.0000000000000000,5,null,6,1,6.0000000000000000,6,null,1,1,1.00000000000000000000,1,null
null,F,D,5,1,5.0000000000000000,5,null,6,1,6.0000000000000000,6,null,2,1,2.0000000000000000,2,null
null,F,D,5,1,5.0000000000000000,5,null,6,1,6.0000000000000000,6,null,5,1,5.0000000000000000,5,null
null,F,D,6,1,6.0000000000000000,6,null,1,1,1.00000000000000000000,1,null,3,1,3.0000000000000000,3,null
null,F,D,6,1,6.0000000000000000,6,null,2,1,2.0000000000000000,2,null,1,1,1.00000000000000000000,1,null
null,F,D,6,1,6.0000000000000000,6,null,2,1,2.0000000000000000,2,null,3,1,3.0000000000000000,3,null
null,F,D,6,1,6.0000000000000000,6,null,3,1,3.0000000000000000,3,null,0,1,0.00000000000000000000,0,null
null,F,D,6,1,6.0000000000000000,6,null,3,1,3.0000000000000000,3,null,5,1,5.0000000000000000,5,null
null,F,D,6,1,6.0000000000000000,6,null,4,1,4.0000000000000000,4,null,3,1,3.0000000000000000,3,null
null,F,D,6,1,6.0000000000000000,6,null,4,1,4.0000000000000000,4,null,6,1,6.0000000000000000,6,null
null,F,D,6,2,6.0000000000000000,6,0,5,2,5.0000000000000000,5,0,0,2,0.00000000000000000000,0,0
null,F,D,6,1,6.0000000000000000,6,null,5,1,5.0000000000000000,5,null,6,1,6.0000000000000000,6,null
null,F,M,0,1,0.00000000000000000000,0,null,1,1,1.00000000000000000000,1,null,0,1,0.00000000000000000000,0,null
null,F,M,0,1,0.00000000000000000000,0,null,1,1,1.00000000000000000000,1,null,6,1,6.0000000000000000,6,null
null,F,M,0,1,0.00000000000000000000,0,null,3,1,3.0000000000000000,3,null,0,1,0.00000000000000000000,0,null
null,F,M,0,1,0.00000000000000000000,0,null,3,1,3.0000000000000000,3,null,2,1,2.0000000000000000,2,null
null,F,M,0,1,0.00000000000000000000,0,null,3,1,3.0000000000000000,3,null,3,1,3.0000000000000000,3,null
null,F,M,0,1,0.00000000000000000000,0,null,4,1,4.0000000000000000,4,null,1,1,1.00000000000000000000,1,null
null,F,M,0,1,0.00000000000000000000,0,null,4,1,4.0000000000000000,4,null,3,1,3.0000000000000000,3,null
null,F,M,0,1,0.00000000000000000000,0,null,4,1,4.0000000000000000,4,null,6,1,6.0000000000000000,6,null
null,F,M,0,1,0.00000000000000000000,0,null,5,1,5.0000000000000000,5,null,3,1,3.0000000000000000,3,null
null,F,M,0,2,0.00000000000000000000,0,0,5,2,5.0000000000000000,5,0,5,2,5.0000000000000000,5,0
null,F,M,0,1,0.00000000000000000000,0,null,5,1,5.0000000000000000,5,null,6,1,6.0000000000000000,6,null
