w_warehouse_sk,i_item_sk,d_moy,mean,cov,w_warehouse_sk,i_item_sk,d_moy,mean,cov
1,535,2,407.0000000000000000,1.1136836257116265,1,535,3,195.6000000000000000,1.1856620749160787
1,557,2,329.0000000000000000,1.1051826660810243,1,557,3,344.6000000000000000,1.0023809298170197
1,2221,2,283.6666666666666667,1.4053842811707039,1,2221,3,322.0000000000000000,1.0367307473946739
1,2666,2,331.2500000000000000,1.3474714529379592,1,2666,3,201.2000000000000000,1.2224740837461332
1,3049,2,295.3333333333333333,1.2662087516377754,1,3049,3,317.2500000000000000,1.1098376232181182
1,3539,2,315.2500000000000000,1.0702436302528374,1,3539,3,401.2000000000000000,1.1067422714262488
1,3872,2,280.0000000000000000,1.0116603346247500,1,3872,3,325.4000000000000000,1.0720914791968623
1,4975,2,308.0000000000000000,1.3471509179226169,1,4975,3,381.0000000000000000,1.0388993870446037
1,5563,2,288.6666666666666667,1.1224303591736951,1,5563,3,420.0000000000000000,1.0201179292460071
1,5582,2,264.6666666666666667,1.2338996038567708,1,5582,3,272.0000000000000000,1.3475857080291507
1,5921,2,294.7500000000000000,1.4941736081079152,1,5921,3,272.0000000000000000,1.0829312313822684
1,8969,2,387.0000000000000000,1.0495049756495065,1,8969,3,357.0000000000000000,1.0928558654861204
1,9271,2,298.3333333333333333,1.2633018098670134,1,9271,3,211.0000000000000000,1.2502330143770474
1,10040,2,315.0000000000000000,1.2539428033047810,1,10040,3,424.4000000000000000,1.0714420917786970
1,10601,2,322.3333333333333333,1.0652337794944343,1,10601,3,379.8000000000000000,1.1143607533383465
1,10838,2,359.0000000000000000,1.0119078519544318,1,10838,3,256.6000000000000000,1.0698332661151208
1,11027,2,383.7500000000000000,1.0174249589842345,1,11027,3,319.8000000000000000,1.0707898925467917
1,11543,2,459.7500000000000000,1.0554918674691746,1,11543,3,270.0000000000000000,1.1577999334388704
1,11779,2,239.7500000000000000,1.3551845634260688,1,11779,3,256.3333333333333333,1.2673540970413888
1,11828,2,253.5000000000000000,1.1182881155072426,1,11828,3,342.5000000000000000,1.0327721723893431
1,13838,2,410.6666666666666667,1.0585598193035771,1,13838,3,394.2500000000000000,1.0200263600441141
1,14329,2,440.6666666666666667,1.0885501036085446,1,14329,3,355.6666666666666667,1.1674302006770244
1,14599,2,337.7500000000000000,1.1268478133031947,1,14599,3,169.7500000000000000,1.0859980913981973
1,14792,2,291.5000000000000000,1.2482280925425043,1,14792,3,338.4000000000000000,1.0506796586416076
1,15542,2,243.0000000000000000,1.2334059461060782,1,15542,3,374.2000000000000000,1.0600905822887627
