s_store_name,d_year,d_moy,avg_monthly_sales,sum_sales,psum,nsum
able,1999,7,9914.5658333333333333,3925.43,5048.62,13087.06
able,1999,2,11067.890833333333,5256.88,6493.76,5959.51
bar,1999,2,10651.1233333333333333,4876.16,7049.07,6109.45
bar,1999,7,10651.1233333333333333,4994.89,5810.77,13630.38
ese,1999,3,11050.097500000000,5450.12,7099.20,6391.68
bar,1999,2,11125.717500000000,5555.98,7500.68,6212.25
bar,1999,2,9958.2100000000000000,4494.31,6602.57,5773.77
ese,1999,6,11050.097500000000,5596.58,7527.20,7011.23
able,1999,7,10141.3483333333333333,4695.50,6096.47,13332.88
ese,1999,5,9552.8191666666666667,4117.49,6242.97,5673.46
ese,1999,3,10069.9575000000000000,4688.43,6285.88,5656.63
able,1999,5,10254.6366666666666667,4895.12,6562.11,5906.98
ese,1999,3,9434.4300000000000000,4078.67,5275.47,5200.46
bar,1999,4,10651.1233333333333333,5313.38,6109.45,7681.82
bar,1999,7,9690.8558333333333333,4450.48,5341.76,13079.07
ese,1999,6,10069.9575000000000000,4848.96,6220.88,5986.13
ese,1999,2,9818.2091666666666667,4599.62,7145.42,4650.57
ese,1999,2,9361.2425000000000000,4142.81,5997.87,5572.80
ese,1999,3,9818.2091666666666667,4650.57,4599.62,5882.10
able,1999,4,10512.4691666666666667,5345.47,6471.28,6281.44
bar,1999,7,11125.717500000000,5963.84,6000.48,15022.86
bar,1999,6,11125.717500000000,6000.48,8169.08,5963.84
able,1999,3,11067.890833333333,5959.51,5256.88,6695.02
able,1999,5,9692.7266666666666667,4608.80,5701.27,6165.29
able,1999,5,10141.3483333333333333,5059.35,6017.32,6096.47
able,1999,4,9291.8016666666666667,4210.87,5008.83,4533.69
ese,1999,2,9731.6325000000000000,4660.23,6252.39,5465.41
able,1999,7,10512.4691666666666667,5464.00,5573.77,14608.49
able,1999,3,9692.7266666666666667,4667.13,5244.28,5701.27
able,1999,2,9931.9625000000000000,4912.83,5688.05,6504.01
able,1999,5,11067.890833333333,6082.84,6695.02,6305.46
bar,1999,2,9867.4725000000000000,4901.95,6715.33,5373.61
ese,1999,2,8943.9191666666666667,3980.96,5867.95,5119.77
able,1999,2,10090.8066666666666667,5131.80,7450.11,6027.96
bar,1999,6,10026.3241666666666667,5071.58,6095.82,5596.99
able,1999,6,10512.4691666666666667,5573.77,6281.44,5464.00
bar,1999,2,9305.4291666666666667,4376.25,6783.23,5787.07
bar,1999,3,11125.717500000000,6212.25,5555.98,6317.92
able,1999,5,9247.0891666666666667,4334.24,4608.21,6270.92
ese,1999,3,10408.9225000000000000,5521.42,5721.42,6867.06
bar,1999,2,9519.2316666666666667,4641.16,5361.52,5066.25
bar,1999,7,9958.2100000000000000,5081.71,6022.88,13359.48
able,1999,6,9914.5658333333333333,5048.62,5599.54,3925.43
ese,1999,7,9415.1258333333333333,4551.08,4862.32,11952.58
able,1999,5,9772.0816666666666667,4913.83,5361.51,6304.19
bar,1999,5,9958.2100000000000000,5101.42,6054.59,6022.88
ese,1999,6,9551.0758333333333333,4696.20,6007.43,6715.93
able,1999,5,9278.7141666666666667,4428.98,5325.68,4492.90
able,1999,4,9818.0225000000000000,4975.01,5295.28,5672.58
bar,1999,6,10651.1233333333333333,5810.77,7681.82,4994.89
ese,1999,5,9818.2091666666666667,4999.28,5882.10,5488.86
able,1999,7,9772.0816666666666667,4958.82,6304.19,13846.13
bar,1999,4,11125.717500000000,6317.92,6212.25,8169.08
able,1999,4,9256.8716666666666667,4450.52,5125.66,5705.84
able,1999,4,9914.5658333333333333,5115.97,5790.91,5599.54
able,1999,7,9291.8016666666666667,4501.14,5409.52,13429.91
able,1999,6,9278.7141666666666667,4492.90,4428.98,5410.63
able,1999,6,11067.890833333333,6305.46,6082.84,6476.09
able,1999,5,9291.8016666666666667,4533.69,4210.87,5409.52
ese,1999,2,9551.0758333333333333,4799.13,7227.37,5949.30
bar,1999,2,9181.5166666666666667,4430.64,5807.82,5553.27
ese,1999,5,8829.2441666666666667,4081.61,5469.76,5240.84
bar,1999,2,8524.6850000000000000,3781.18,5547.28,4972.57
ese,1999,2,9943.0683333333333333,5220.86,6769.72,5831.71
bar,1999,6,8723.5166666666666667,4004.46,5395.98,4566.37
ese,1999,3,9415.1258333333333333,4702.20,5138.09,6719.42
able,1999,7,10254.6366666666666667,5555.21,5906.98,13093.27
bar,1999,2,9428.5641666666666667,4732.73,6805.87,6873.10
ese,1999,4,9943.0683333333333333,5250.60,5831.71,5900.97
ese,1999,2,10408.9225000000000000,5721.42,6955.51,5521.42
