item_sk,d_date,web_sales,store_sales,web_cumulative,store_cumulative
3,2001-03-11,134.04,null,134.04,41.06
3,2001-03-18,163.26,null,163.26,41.06
3,2001-03-29,234.43,null,234.43,41.06
3,2001-04-05,254.27,83.04,254.27,83.04
3,2001-04-17,null,126.06,254.27,126.06
3,2001-05-09,null,216.64,254.27,216.64
3,2001-05-18,null,250.68,254.27,250.68
5,2001-03-08,103.97,null,103.97,74.45
5,2001-03-14,265.86,null,265.86,74.45
5,2001-03-17,null,131.41,265.86,131.41
5,2001-03-18,287.10,null,287.10,131.41
5,2001-03-27,null,131.41,287.10,131.41
5,2001-03-28,null,160.75,287.10,160.75
5,2001-03-29,null,247.62,287.10,247.62
11,2001-03-18,51.32,null,51.32,36.49
11,2001-03-28,109.70,null,109.70,59.37
11,2001-03-30,null,85.01,109.70,85.01
11,2001-04-09,null,109.08,109.70,109.08
11,2001-04-19,171.84,null,171.84,109.08
11,2001-04-28,172.45,null,172.45,109.08
11,2001-05-11,236.31,null,236.31,180.04
11,2001-05-13,null,195.35,236.31,195.35
11,2001-05-20,null,203.72,236.31,203.72
17,2001-03-21,null,88.00,103.37,88.00
17,2001-04-07,143.67,null,143.67,132.36
17,2001-04-08,201.11,null,201.11,132.36
17,2001-04-09,316.81,null,316.81,132.36
17,2001-04-13,null,143.37,316.81,143.37
17,2001-04-15,null,148.29,316.81,148.29
17,2001-04-21,418.74,null,418.74,148.29
17,2001-05-01,null,172.82,418.74,172.82
17,2001-05-06,null,214.39,418.74,214.39
17,2001-05-23,null,301.66,418.74,301.66
17,2001-05-27,null,367.45,418.74,367.45
17,2001-06-09,null,402.55,418.74,402.55
21,2001-03-24,null,45.47,80.73,45.47
21,2001-04-01,141.38,null,141.38,45.47
21,2001-04-07,193.11,null,193.11,45.47
21,2001-04-15,209.34,null,209.34,45.47
21,2001-05-05,null,66.44,209.34,66.44
21,2001-05-06,null,66.44,209.34,66.44
21,2001-05-07,null,117.68,209.34,117.68
21,2001-05-17,null,133.06,209.34,133.06
29,2001-03-15,null,24.70,86.94,24.70
29,2001-03-20,103.47,null,103.47,24.70
29,2001-03-22,null,33.66,103.47,33.66
29,2001-03-28,null,59.66,103.47,59.66
29,2001-03-30,158.34,null,158.34,59.66
29,2001-04-06,null,67.45,158.34,67.45
29,2001-04-13,217.47,null,217.47,67.45
29,2001-05-18,null,127.25,217.47,127.25
29,2001-05-23,null,137.94,217.47,137.94
29,2001-06-02,null,140.66,217.47,140.66
29,2001-06-08,358.46,null,358.46,140.66
29,2001-06-09,null,176.43,358.46,176.43
29,2001-06-13,null,178.69,358.46,178.69
29,2001-07-10,null,180.53,358.46,180.53
29,2001-07-14,null,182.55,358.46,182.55
29,2001-07-17,null,216.39,358.46,216.39
29,2001-07-20,null,232.64,358.46,232.64
29,2001-07-22,360.77,null,360.77,232.64
29,2001-07-28,null,324.94,360.77,324.94
31,2001-03-08,null,50.89,88.52,50.89
31,2001-03-09,293.25,null,293.25,50.89
31,2001-03-10,320.68,52.90,320.68,52.90
31,2001-03-11,null,69.96,320.68,69.96
31,2001-03-12,null,75.83,320.68,75.83
31,2001-03-16,null,79.61,320.68,79.61
31,2001-03-26,null,134.30,320.68,134.30
31,2001-03-30,null,163.39,320.68,163.39
31,2001-04-02,null,232.12,320.68,232.12
31,2001-04-07,null,256.53,320.68,256.53
33,2001-03-14,null,0.00,7.84,0.00
33,2001-03-16,8.67,null,8.67,0.00
33,2001-04-06,86.69,null,86.69,17.21
33,2001-04-09,null,23.80,86.69,23.80
33,2001-04-14,null,34.37,86.69,34.37
33,2001-04-22,null,63.27,86.69,63.27
33,2001-04-24,null,75.04,86.69,75.04
35,2001-06-15,323.47,null,323.47,234.73
35,2001-06-16,null,259.42,323.47,259.42
35,2001-06-27,null,300.79,323.47,300.79
41,2001-03-14,null,109.00,214.67,109.00
41,2001-03-20,null,109.00,214.67,109.00
41,2001-04-01,null,109.00,214.67,109.00
41,2001-04-02,289.49,null,289.49,109.00
41,2001-04-05,null,112.08,289.49,112.08
41,2001-04-15,null,188.59,289.49,188.59
41,2001-05-01,null,261.71,289.49,261.71
41,2001-05-07,null,275.27,289.49,275.27
45,2001-03-08,136.17,null,136.17,57.82
45,2001-05-16,418.17,null,418.17,345.25
45,2001-05-19,449.64,null,449.64,345.25
45,2001-05-22,null,350.99,449.64,350.99
45,2001-06-01,null,437.38,449.64,437.38
45,2001-06-29,503.06,null,503.06,474.95
45,2001-07-11,570.18,null,570.18,521.35
48,2002-01-03,138.68,null,138.68,51.23
48,2002-01-06,null,74.97,138.68,74.97
48,2002-01-11,null,134.94,138.68,134.94
