i_category,i_brand,d_year,d_moy,avg_monthly_sales,sum_sales,psum,nsum
Music                                             ,edu packscholar #1                                ,1999,3,9552.9816666666666667,3724.84,5503.05,5165.86
Women                                             ,amalgamalg #1                                     ,1999,2,8662.2966666666666667,3108.41,5135.25,4086.61
Women                                             ,amalgamalg #1                                     ,1999,3,8912.8308333333333333,3394.29,4243.03,4078.66
Shoes                                             ,edu packedu pack #1                               ,1999,6,7808.3141666666666667,2432.08,4683.25,3862.07
Women                                             ,amalgamalg #1                                     ,1999,6,8538.2458333333333333,3284.45,5763.54,5626.75
Men                                               ,importoimporto #1                                 ,1999,4,9029.2900000000000000,3806.47,4500.63,5204.30
Men                                               ,importoimporto #1                                 ,1999,5,8495.3291666666666667,3331.29,4711.97,4138.17
Children                                          ,exportiexporti #1                                 ,1999,7,8074.2375000000000000,2917.45,4495.62,12855.37
Men                                               ,amalgimporto #1                                   ,1999,4,8322.9958333333333333,3213.74,4838.49,4445.48
Shoes                                             ,importoedu pack #1                                ,1999,2,8074.9700000000000000,2985.56,4530.28,4364.12
Men                                               ,importoimporto #1                                 ,1999,2,8800.1566666666666667,3760.98,5772.59,5370.72
Children                                          ,importoexporti #1                                 ,1999,7,8125.1175000000000000,3117.92,3466.28,12555.69
Shoes                                             ,exportiedu pack #1                                ,1999,6,8513.5808333333333333,3525.78,4658.65,3797.58
Women                                             ,amalgamalg #1                                     ,1999,2,8145.6475000000000000,3181.06,4314.99,4077.50
Children                                          ,exportiexporti #1                                 ,1999,6,8330.2100000000000000,3376.53,4707.57,6201.27
Children                                          ,importoexporti #1                                 ,1999,2,8249.5366666666666667,3351.88,4663.78,5300.76
Music                                             ,edu packscholar #1                                ,1999,4,8952.8883333333333333,4076.42,6104.27,4313.97
Shoes                                             ,amalgedu pack #1                                  ,1999,5,8473.4433333333333333,3601.30,5144.61,5982.51
Women                                             ,amalgamalg #1                                     ,1999,2,8538.2458333333333333,3666.66,4007.08,4655.30
Men                                               ,edu packimporto #1                                ,1999,2,8869.3208333333333333,3999.79,5245.05,4483.72
Women                                             ,edu packamalg #1                                  ,1999,2,7381.7241666666666667,2545.12,4842.84,2949.37
Women                                             ,amalgamalg #1                                     ,1999,4,8912.8308333333333333,4078.66,3394.29,5643.47
Music                                             ,exportischolar #1                                 ,1999,2,8630.3683333333333333,3816.80,5712.72,5090.97
Music                                             ,amalgscholar #1                                   ,1999,2,8162.8625000000000000,3350.83,4595.24,4835.31
Music                                             ,exportischolar #1                                 ,1999,2,8282.7883333333333333,3480.07,5023.61,4242.91
Men                                               ,importoimporto #1                                 ,1999,7,8800.1566666666666667,4013.30,6468.24,12232.69
Children                                          ,exportiexporti #1                                 ,1999,2,8362.2533333333333333,3625.32,4183.07,4950.43
Children                                          ,exportiexporti #1                                 ,1999,2,8186.8666666666666667,3451.23,5432.29,4269.31
Shoes                                             ,edu packedu pack #1                               ,1999,4,7808.3141666666666667,3077.57,5340.82,4683.25
Men                                               ,amalgimporto #1                                   ,1999,2,8914.5300000000000000,4190.93,5970.60,5894.50
Men                                               ,importoimporto #1                                 ,1999,2,8495.3291666666666667,3772.99,4481.60,3847.11
Music                                             ,exportischolar #1                                 ,1999,7,7948.7666666666666667,3231.23,4444.64,11810.79
Shoes                                             ,exportiedu pack #1                                ,1999,7,8513.5808333333333333,3797.58,3525.78,10480.19
Shoes                                             ,amalgedu pack #1                                  ,1999,1,8109.4866666666666667,3401.07,15207.27,3855.67
Music                                             ,edu packscholar #1                                ,1999,5,9654.6541666666666667,4947.10,4987.81,6373.13
Men                                               ,edu packimporto #1                                ,1999,1,9297.0866666666666667,4610.06,18007.14,6220.36
Music                                             ,amalgscholar #1                                   ,1999,2,8004.6975000000000000,3319.58,4364.15,4471.30
Women                                             ,edu packamalg #1                                  ,1999,3,7628.2641666666666667,2946.82,3614.42,3793.90
Women                                             ,amalgamalg #1                                     ,1999,2,8912.8308333333333333,4243.03,5596.01,3394.29
Music                                             ,edu packscholar #1                                ,1999,4,9654.6541666666666667,4987.81,5355.48,4947.10
Children                                          ,importoexporti #1                                 ,1999,6,8125.1175000000000000,3466.28,4760.72,3117.92
Men                                               ,amalgimporto #1                                   ,1999,2,8461.0133333333333333,3810.61,4410.19,5053.44
Men                                               ,importoimporto #1                                 ,1999,7,8683.6750000000000000,4033.33,6336.10,10278.71
Men                                               ,importoimporto #1                                 ,1999,3,8495.3291666666666667,3847.11,3772.99,4711.97
Music                                             ,edu packscholar #1                                ,1999,5,8952.8883333333333333,4313.97,4076.42,4792.19
Shoes                                             ,importoedu pack #1                                ,1999,7,8074.9700000000000000,3444.59,4234.35,11636.15
Music                                             ,exportischolar #1                                 ,1999,6,8330.9300000000000000,3740.39,6357.49,5645.79
Music                                             ,edu packscholar #1                                ,1999,7,9654.6541666666666667,5069.21,6373.13,15267.10
Women                                             ,amalgamalg #1                                     ,1999,3,8662.2966666666666667,4086.61,3108.41,5639.81
Shoes                                             ,importoedu pack #1                                ,1999,2,8303.9191666666666667,3734.03,5553.38,4586.40
Men                                               ,amalgimporto #1                                   ,1999,5,8914.5300000000000000,4346.00,5361.15,5617.91
Music                                             ,exportischolar #1                                 ,1999,5,8803.0516666666666667,4248.54,5325.35,5206.27
Men                                               ,importoimporto #1                                 ,1999,6,8490.3450000000000000,3946.48,5892.12,5550.94
Shoes                                             ,amalgedu pack #1                                  ,1999,2,8099.2483333333333333,3558.74,4953.19,5045.78
Children                                          ,importoexporti #1                                 ,1999,2,8125.1175000000000000,3587.05,3935.12,6240.66
Women                                             ,amalgamalg #1                                     ,1999,1,8538.2458333333333333,4007.08,16763.44,3666.66
Men                                               ,importoimporto #1                                 ,1999,3,9029.2900000000000000,4500.63,5881.88,3806.47
Women                                             ,edu packamalg #1                                  ,1999,1,7801.3250000000000000,3316.26,14649.71,4887.13
Shoes                                             ,importoedu pack #1                                ,1999,3,8704.4516666666666667,4221.02,4804.88,4566.78
Music                                             ,exportischolar #1                                 ,1999,1,8803.0516666666666667,4322.48,17549.19,4556.46
Music                                             ,edu packscholar #1                                ,1999,5,8346.0666666666666667,3874.42,4196.73,4644.87
Music                                             ,edu packscholar #1                                ,1999,6,9625.8866666666666667,5154.31,6065.46,5833.84
Men                                               ,edu packimporto #1                                ,1999,5,9297.0866666666666667,4840.30,5808.66,5751.25
Men                                               ,amalgimporto #1                                   ,1999,7,8348.5366666666666667,3895.05,4683.09,11623.26
Shoes                                             ,edu packedu pack #1                               ,1999,6,8124.2583333333333333,3673.91,4392.31,5267.35
Women                                             ,importoamalg #1                                   ,1999,6,7935.2758333333333333,3485.36,5760.30,3597.19
Women                                             ,edu packamalg #1                                  ,1999,3,7381.7241666666666667,2949.37,2545.12,4777.20
Music                                             ,importoscholar #1                                 ,1999,3,7421.5591666666666667,3011.80,4596.59,4639.58
Music                                             ,importoscholar #1                                 ,1999,6,7428.1425000000000000,3019.56,3997.96,4433.48
Women                                             ,amalgamalg #1                                     ,1999,4,8364.3675000000000000,3974.26,5141.49,5365.21
Music                                             ,edu packscholar #1                                ,1999,4,9552.9816666666666667,5165.86,3724.84,6024.09
Men                                               ,edu packimporto #1                                ,1999,3,8869.3208333333333333,4483.72,3999.79,5517.91
Men                                               ,exportiimporto #1                                 ,1999,4,7539.8266666666666667,3154.71,4556.45,3214.02
Shoes                                             ,exportiedu pack #1                                ,1999,6,8432.7250000000000000,4063.56,5922.74,7169.56
Music                                             ,importoscholar #1                                 ,1999,4,7614.0883333333333333,3251.13,5171.95,4906.02
Music                                             ,amalgscholar #1                                   ,1999,4,7556.5908333333333333,3196.55,4552.31,3279.77
Men                                               ,importoimporto #1                                 ,1999,6,8495.3291666666666667,4138.17,3331.29,5627.10
Men                                               ,importoimporto #1                                 ,1999,5,8800.1566666666666667,4454.81,5137.95,6468.24
Women                                             ,importoamalg #1                                   ,1999,7,7935.2758333333333333,3597.19,3485.36,11510.03
Shoes                                             ,importoedu pack #1                                ,1999,2,8389.0525000000000000,4051.84,4801.88,4929.49
Men                                               ,edu packimporto #1                                ,1999,6,8639.4725000000000000,4305.98,4741.99,6508.10
Shoes                                             ,exportiedu pack #1                                ,1999,1,8483.9141666666666667,4158.06,17261.88,4382.59
Men                                               ,exportiimporto #1                                 ,1999,5,7539.8266666666666667,3214.02,3154.71,5026.16
Men                                               ,edu packimporto #1                                ,1999,3,8639.4725000000000000,4317.00,4951.44,4459.61
Children                                          ,exportiexporti #1                                 ,1999,6,8491.6300000000000000,4181.90,4385.20,4818.72
