substr,sm_type,web_name,30 days,31-60 days,61-90 days,91-120 days,>120 days
null,EXPRESS                       ,site_0,568,573,622,607,0
null,EXPRESS                       ,site_1,631,611,623,625,0
null,EXPRESS                       ,site_2,589,667,617,592,0
null,EXPRESS                       ,site_3,535,537,570,528,0
null,EXPRESS                       ,site_4,531,544,560,546,0
null,LIBRARY                       ,site_0,370,379,378,342,0
null,LIBRARY                       ,site_1,463,440,414,447,0
null,LIBRARY                       ,site_2,479,459,494,467,0
null,LIBRARY                       ,site_3,496,519,505,518,0
null,LIBRARY                       ,site_4,453,436,445,402,0
null,NEXT DAY                      ,site_0,572,591,586,563,0
null,NEXT DAY                      ,site_1,611,634,583,579,0
null,NEXT DAY                      ,site_2,600,557,544,518,0
null,NEXT DAY                      ,site_3,576,523,516,539,0
null,NEXT DAY                      ,site_4,579,600,599,661,0
null,OVERNIGHT                     ,site_0,484,483,477,469,0
null,OVERNIGHT                     ,site_1,444,409,400,356,0
null,OVERNIGHT                     ,site_2,356,375,369,367,0
null,OVERNIGHT                     ,site_3,425,398,418,395,0
null,OVERNIGHT                     ,site_4,455,490,485,483,0
null,REGULAR                       ,site_0,430,467,408,416,0
null,REGULAR                       ,site_1,470,497,456,492,0
null,REGULAR                       ,site_2,503,507,477,505,0
null,REGULAR                       ,site_3,448,437,381,464,0
null,REGULAR                       ,site_4,377,350,408,353,0
null,TWO DAY                       ,site_0,425,443,430,413,0
null,TWO DAY                       ,site_1,397,398,390,350,0
null,TWO DAY                       ,site_2,422,424,418,376,0
null,TWO DAY                       ,site_3,522,452,489,488,0
null,TWO DAY                       ,site_4,488,488,468,473,0
Bad cards must make.,EXPRESS                       ,site_0,575,584,526,495,0
Bad cards must make.,EXPRESS                       ,site_1,527,549,570,577,0
Bad cards must make.,EXPRESS                       ,site_2,603,602,620,611,0
Bad cards must make.,EXPRESS                       ,site_3,613,633,575,593,0
Bad cards must make.,EXPRESS                       ,site_4,612,659,589,608,0
Bad cards must make.,LIBRARY                       ,site_0,489,496,481,510,0
Bad cards must make.,LIBRARY                       ,site_1,423,443,438,440,0
Bad cards must make.,LIBRARY                       ,site_2,405,392,364,377,0
Bad cards must make.,LIBRARY                       ,site_3,400,446,424,423,0
Bad cards must make.,LIBRARY                       ,site_4,439,494,457,472,0
Bad cards must make.,NEXT DAY                      ,site_0,549,596,497,549,0
Bad cards must make.,NEXT DAY                      ,site_1,573,608,611,627,0
Bad cards must make.,NEXT DAY                      ,site_2,609,590,635,613,0
Bad cards must make.,NEXT DAY                      ,site_3,593,638,606,673,0
Bad cards must make.,NEXT DAY                      ,site_4,570,596,576,540,0
