prev_year,year,i_brand_id,i_class_id,i_category_id,i_manufact_id,prev_yr_cnt,curr_yr_cnt,sales_cnt_diff,sales_amt_diff
2000,2001,8001003,1,8,18,13128,7803,-5325,-224451.03
2000,2001,3003001,14,8,231,8520,5592,-2928,-130682.12
2000,2001,8008004,8,8,827,8300,5510,-2790,-158554.85
2000,2001,8006004,6,8,364,7227,4581,-2646,-118167.79
2000,2001,8013006,1,8,752,8629,5991,-2638,-136627.17
2000,2001,8011004,1,8,792,8237,5663,-2574,-58711.16
2000,2001,8005002,4,8,17,7973,5452,-2521,-45231.38
2000,2001,8015004,15,8,699,8424,5988,-2436,-95594.79
2000,2001,8010004,9,8,488,8415,6037,-2378,-104061.07
2000,2001,8012004,5,8,584,8283,6096,-2187,-53891.94
2000,2001,8008008,2,8,296,8602,6525,-2077,-55957.69
2000,2001,10001014,1,8,835,8173,6147,-2026,-94117.90
2000,2001,8005010,9,8,186,8036,6021,-2015,-78044.63
2000,2001,8001010,1,8,93,8218,6208,-2010,-113440.82
2000,2001,8013004,13,8,27,8492,6509,-1983,-65147.49
2000,2001,8016002,16,8,73,8531,6581,-1950,14786.06
2000,2001,8008006,8,8,559,8583,6648,-1935,-93325.12
2000,2001,8006002,6,8,88,7860,5930,-1930,-77201.49
2000,2001,8001002,1,8,61,7925,6058,-1867,-86085.41
2000,2001,8005002,5,8,83,7962,6111,-1851,-89659.10
2000,2001,8016002,16,8,556,7221,5418,-1803,-8621.17
2000,2001,8016006,2,8,429,8396,6603,-1793,-10001.62
2000,2001,8002010,2,8,505,8345,6562,-1783,-82477.48
2000,2001,8016010,16,8,345,8016,6237,-1779,-118960.24
2000,2001,8004006,4,8,632,7288,5517,-1771,-107427.41
2000,2001,8005010,5,8,727,8120,6353,-1767,-71911.00
2000,2001,8006004,1,8,631,7448,5690,-1758,-16094.03
2000,2001,8015008,15,8,964,8297,6541,-1756,-76418.08
2000,2001,8016006,3,8,812,8570,6815,-1755,-100707.43
2000,2001,8007004,7,8,469,7921,6177,-1744,-24649.45
2000,2001,8015004,1,8,502,8806,7067,-1739,-101660.69
2000,2001,8005008,5,8,137,7947,6220,-1727,-124927.02
2000,2001,8011002,11,8,53,7714,5996,-1718,-83766.47
2000,2001,10002010,9,8,44,8146,6431,-1715,-69836.07
2000,2001,8004002,4,8,97,9105,7395,-1710,-58484.28
2000,2001,4001001,1,8,36,8237,6552,-1685,25362.55
2000,2001,8013002,13,8,455,8569,6916,-1653,-15726.09
2000,2001,8014001,14,8,260,8170,6531,-1639,-135974.11
2000,2001,8003008,3,8,80,8428,6812,-1616,-14539.77
2000,2001,8001005,1,8,77,8311,6706,-1605,-107703.54
2000,2001,8005008,5,8,48,8073,6476,-1597,-108808.44
2000,2001,8007002,7,8,104,7963,6369,-1594,-34419.11
2000,2001,8009006,9,8,195,7764,6170,-1594,-4854.51
2000,2001,8004010,4,8,631,7444,5869,-1575,-46033.50
2000,2001,10011006,3,8,572,6942,5375,-1567,-38317.71
2000,2001,8003004,3,8,505,7373,5807,-1566,-116380.25
2000,2001,8003004,3,8,269,7933,6388,-1545,-23595.42
2000,2001,4004001,4,8,147,7551,6013,-1538,-93675.94
2000,2001,8014002,14,8,981,7105,5573,-1532,-93056.98
2000,2001,8005008,5,8,184,7833,6314,-1519,-53453.00
2000,2001,8010010,10,8,116,7735,6239,-1496,-88887.36
2000,2001,8006002,6,8,167,8004,6513,-1491,-73696.99
2000,2001,8004002,4,8,425,8264,6775,-1489,-69600.04
2000,2001,2004001,1,8,289,8144,6673,-1471,-91573.82
2000,2001,8005010,5,8,290,7596,6135,-1461,-54945.03
2000,2001,7010009,11,8,195,7757,6301,-1456,-113516.74
2000,2001,8012006,12,8,70,8287,6848,-1439,-96937.70
2000,2001,8011002,11,8,293,7632,6195,-1437,-74062.64
2000,2001,8016010,16,8,284,7791,6360,-1431,-81614.66
2000,2001,8010006,10,8,143,8231,6811,-1420,-85726.47
2000,2001,8009006,9,8,310,8140,6720,-1420,-72642.07
2000,2001,9011011,11,8,296,7339,5929,-1410,-9758.89
2000,2001,8012002,12,8,80,8252,6844,-1408,-72039.37
2000,2001,8002004,7,8,36,8364,6962,-1402,-125906.73
2000,2001,8008004,8,8,208,7563,6162,-1401,-92972.20
2000,2001,10013011,16,8,264,8002,6621,-1381,-65121.64
