channel,id,sales,returns,profit
null,null,1455990280.47,31809088.18,-234295694.89
catalog channel,null,1477241.57,3899706.05,-2660589.59
catalog channel,null,1148031221.54,23398236.30,-121787703.40
catalog channel,1,233249778.23,3899706.05,-28504192.48
catalog channel,2,241623107.25,3899706.05,-24474733.20
catalog channel,5,217121229.92,3899706.05,-21774566.22
catalog channel,7,223083682.50,3899706.05,-20835005.22
catalog channel,8,231476182.07,3899706.05,-23538616.69
store channel,null,2652017.39,0,-1108484.04
store channel,null,227972486.48,6138814.20,-102412327.04
store channel,1,18859063.47,452283.96,-8794837.63
store channel,2,18222887.59,501098.92,-8271125.07
store channel,4,19633663.37,570535.26,-8439366.02
store channel,7,18497698.70,439659.55,-8374029.51
store channel,8,19182506.78,541313.71,-8338699.55
store channel,10,18405157.28,526796.47,-8271501.13
store channel,13,20371695.63,542605.56,-9199588.56
store channel,14,18754759.08,565338.66,-8262945.74
store channel,16,18657887.39,519953.84,-8252864.42
store channel,19,17599835.81,446530.14,-7874372.55
store channel,20,19755070.03,497779.43,-8869193.13
store channel,22,17380243.96,534918.70,-8355319.69
web channel,null,79986572.45,2272037.68,-10095664.45
web channel,1,2042571.13,65740.34,-257012.70
web channel,2,2171396.78,74513.69,-225311.01
web channel,5,1928905.49,42759.51,-239617.00
web channel,7,2227159.02,68090.19,-290900.08
web channel,8,2266539.50,98085.72,-182649.08
web channel,11,2041339.56,29659.96,-351404.31
web channel,13,2172422.17,30709.54,-217433.63
web channel,14,2131156.03,45195.81,-269978.11
web channel,17,2180311.74,42207.62,-191933.16
web channel,19,1932378.30,59496.07,-341055.64
web channel,20,2267722.80,79798.05,-316913.12
web channel,23,2304328.27,28544.31,-70735.43
web channel,25,2107793.96,52507.71,-402506.73
web channel,26,1922135.73,97230.52,-375139.09
web channel,29,2173400.01,29515.47,-187633.58
web channel,31,2115916.09,93745.44,-295490.49
web channel,32,2113908.32,93516.22,-337846.51
web channel,35,2038084.91,33100.33,-214237.37
web channel,37,1862329.91,59933.75,-311340.15
web channel,38,2033966.03,49851.19,-323507.60
web channel,41,2019257.25,33158.61,-287973.67
web channel,43,2173398.01,66651.09,-329763.38
web channel,44,2104261.42,46016.20,-317632.05
web channel,47,2123110.74,31054.97,-325541.34
web channel,49,2038271.83,32497.32,-176969.00
web channel,50,2132955.49,92116.82,-246204.98
web channel,53,2033500.00,57618.43,-301008.01
web channel,55,2159137.15,75269.82,-143475.46
web channel,56,2153092.50,80568.74,-150674.95
web channel,59,1920037.29,20652.67,-284374.70
web channel,61,2060673.78,64948.60,-231376.02
web channel,62,2046690.01,82804.92,-244045.37
web channel,65,2025271.14,49522.72,-322606.37
web channel,67,2090238.39,103974.83,-321079.01
web channel,68,2196209.01,67546.82,-250860.27
web channel,71,2272024.56,59240.35,-223024.60
web channel,73,2198578.23,73704.28,-269705.20
web channel,74,2206099.90,60489.05,-266705.28
