ss_customer_sk,ratio,store_qty,store_wholesale_cost,store_sales_price,other_chan_qty,other_chan_wholesale_cost,other_chan_sales_price
173,1.75,70,8.16,9.20,40,2.43,1.71
447,0.41,7,53.11,22.38,17,79.61,72.02
954,1.37,26,16.92,15.70,19,75.78,77.67
1516,0.73,45,40.24,23.88,62,4.66,9.19
2398,2.78,100,51.03,47.36,36,63.97,2.78
2786,10.29,72,54.64,23.99,7,5.55,7.44
4180,0.65,61,79.73,10.28,94,61.01,4.64
4613,0.95,73,72.37,12.73,77,7.38,14.61
4640,0.49,48,57.79,3.17,97,36.06,0.69
4660,1.90,55,8.25,1.26,29,98.92,33.13
5163,0.24,13,64.42,71.11,55,59.12,83.35
5623,0.77,50,90.77,21.85,65,12.00,8.55
5724,0.52,23,6.39,1.57,44,64.21,73.70
5953,0.39,30,56.20,79.91,77,35.02,47.76
6181,0.92,76,91.16,107.34,83,70.61,26.28
6480,2.86,20,18.51,23.69,7,3.52,3.06
6690,0.15,11,92.00,115.26,71,43.66,29.46
6722,2.86,100,50.95,15.24,35,93.61,249.74
6846,0.73,8,72.76,57.48,11,6.51,8.25
7333,0.32,25,33.98,null,78,44.29,12.03
7789,1.68,52,26.13,29.00,31,88.06,48.44
8072,1.48,89,66.09,5.18,60,57.89,1.41
8235,1.21,34,5.41,6.68,28,93.12,136.74
8272,0.21,14,63.21,52.56,67,35.51,42.92
8702,0.42,13,15.64,8.14,31,26.21,2.29
8760,null,null,39.54,28.67,76,66.54,36.66
8799,0.63,17,null,95.34,27,6.55,1.43
9885,0.80,69,50.22,4.09,86,32.58,39.09
10228,0.87,69,33.10,24.82,79,32.48,38.65
11298,1.50,87,31.13,5.22,58,22.49,2.33
11355,0.21,19,23.87,32.75,90,91.01,110.46
11792,1.65,76,52.57,7.52,46,71.53,74.80
11954,2.65,90,90.16,54.54,34,85.10,60.01
12055,1.66,78,11.51,17.48,47,7.09,9.92
12433,1.13,72,4.28,5.70,64,20.78,10.22
13309,2.17,50,96.21,18.12,23,54.33,31.98
13388,1.94,31,21.59,22.22,16,80.11,57.48
13612,11.67,70,50.22,36.27,6,55.96,12.38
14784,0.30,20,20.77,4.97,66,71.15,91.96
15117,0.88,37,64.97,7.34,42,29.85,5.39
15794,0.90,86,16.62,7.83,96,86.94,78.41
15902,1.95,39,50.21,42.87,20,8.36,11.43
16353,2.13,34,63.39,47.15,16,83.56,104.28
17472,0.53,48,17.38,19.18,91,17.13,9.76
17761,0.52,43,5.44,8.24,82,1.10,1.85
17783,1.21,97,8.81,8.17,80,34.83,32.73
18161,0.46,41,64.60,80.30,90,64.89,8.46
18397,1.24,88,52.90,36.92,71,38.82,26.60
18441,7.00,91,27.82,15.67,13,3.80,5.48
18878,0.45,37,21.87,24.82,83,46.84,49.06
19000,0.16,13,86.90,25.58,82,8.74,8.87
20091,3.60,72,20.49,26.62,20,10.70,13.60
20239,1.26,53,8.62,9.26,42,41.87,11.45
20516,2.63,50,59.16,68.39,19,57.20,3.95
20760,3.29,23,88.27,57.83,7,48.89,72.90
20947,0.83,33,26.56,18.62,40,43.81,33.11
20989,0.66,45,6.80,5.15,68,16.49,3.08
21413,1.64,77,95.68,66.93,47,26.35,37.62
21569,0.45,25,63.54,35.43,55,67.55,39.15
21917,0.52,16,72.62,51.84,31,12.91,18.41
21982,0.85,28,53.95,4.16,33,35.73,13.36
22164,7.23,94,98.17,90.93,13,16.61,4.16
22183,0.70,60,79.04,47.30,86,14.13,3.40
22628,null,null,null,98.66,94,55.00,64.37
23054,0.95,38,53.69,52.91,40,84.48,104.81
23084,0.14,10,27.79,10.11,69,18.36,26.05
24014,2.64,66,2.94,1.24,25,85.80,26.59
24168,0.07,3,38.17,6.73,44,39.68,32.24
24190,12.38,99,80.17,88.38,8,92.53,28.51
24277,0.12,9,69.13,6.47,73,48.86,22.43
24469,1.62,89,34.91,34.48,55,44.75,14.71
24930,null,null,null,96.83,62,59.61,56.10
25037,0.77,73,32.69,25.43,95,42.55,62.15
25651,0.15,11,76.45,25.52,71,57.00,67.90
26085,4.82,53,19.36,30.27,11,72.26,122.08
26357,0.74,65,29.59,19.65,88,74.82,50.07
26987,7.67,23,7.16,7.66,3,51.18,120.78
27445,1.26,78,32.66,4.71,62,5.69,3.60
27457,0.51,42,64.94,25.09,82,54.02,47.36
28013,2.08,100,25.25,35.35,48,15.55,4.82
28059,0.53,52,67.24,6.68,98,98.41,10.43
29650,0.15,12,7.57,2.43,82,52.81,20.64
29893,0.69,25,5.09,2.14,36,10.39,8.28
30243,11.25,45,76.15,75.66,4,50.26,48.74
30679,0.96,94,95.27,92.39,98,31.06,30.22
31225,0.66,33,93.81,159.73,50,73.12,22.24
31322,3.75,75,79.58,75.07,20,60.55,122.40
31440,0.80,73,43.22,69.18,91,40.08,68.24
31554,1.10,67,76.59,7.76,61,78.80,116.77
31771,4.27,94,13.93,6.48,22,81.14,169.57
31833,2.78,25,63.06,65.94,9,8.98,4.76
32276,0.09,4,35.87,32.17,45,69.10,124.25
32419,0.52,44,20.50,6.87,85,49.76,27.27
32558,0.43,36,69.23,115.64,83,72.89,100.58
33130,4.18,92,10.12,3.98,22,23.47,34.87
33721,0.19,5,6.46,1.26,27,78.80,20.56
34168,1.37,78,61.92,20.80,57,46.85,15.47
34216,0.34,31,28.05,12.12,92,50.51,20.05
34266,0.05,3,39.62,25.03,57,90.23,33.20
35250,0.51,39,87.00,114.77,77,5.80,1.25
