c_last_name,c_first_name,substr,ss_ticket_number,amt,profit
null,null,Fairview,342471,0.00,null
null,null,Fairview,43234,0.00,null
null,null,Fairview,43234,122.10,-22425.92
null,null,Fairview,335446,597.73,-19347.95
null,null,Fairview,411014,932.48,-15382.64
null,null,Fairview,238763,2966.29,-15281.84
null,null,Fairview,156754,5053.97,-14351.57
null,null,Fairview,169803,78.00,-12069.83
null,null,Fairview,177391,2305.18,-9511.54
null,null,Fairview,27301,1160.55,-9455.72
null,null,Fairview,142311,4271.06,-9388.68
null,null,Fairview,433276,1298.04,-9379.12
null,null,Fairview,91869,3613.20,-8717.52
null,null,Fairview,181774,1359.75,-6149.37
null,null,Fairview,405325,316.55,-5577.74
null,null,Fairview,342471,2537.37,-4597.91
null,null,Fairview,132073,1382.96,-4501.03
null,null,Fairview,227038,30.66,-4178.98
null,null,Fairview,312700,0.00,-3806.04
null,null,Fairview,466119,0.00,-3739.29
null,null,Fairview,342600,656.45,-3056.81
null,null,Fairview,476061,0.00,-2582.29
null,null,Fairview,82983,110.66,-1213.50
null,null,Fairview,330838,88.27,-662.80
null,null,Fairview,263462,94.27,178.18
null,null,Fairview,281537,400.32,3331.93
null,null,Fairview,209625,28.67,4514.81
null,null,Midway,412834,null,null
null,null,Midway,176377,0.00,null
null,null,Midway,143811,6920.22,-24940.69
null,null,Midway,397416,6043.16,-24930.98
null,null,Midway,215442,3551.46,-23716.72
null,null,Midway,232643,566.26,-21995.81
null,null,Midway,3524,598.17,-20723.14
null,null,Midway,313785,7359.73,-20411.78
null,null,Midway,23126,5259.48,-19585.16
null,null,Midway,443073,7511.92,-19314.23
null,null,Midway,200200,3615.02,-18203.55
null,null,Midway,92473,5422.43,-17830.84
null,null,Midway,256035,4929.25,-17830.49
null,null,Midway,322788,6466.02,-17699.46
null,null,Midway,220311,223.59,-17663.29
null,null,Midway,130398,1046.14,-17343.25
null,null,Midway,45052,6158.69,-17331.05
null,null,Midway,466414,13929.03,-17213.35
null,null,Midway,368465,1525.87,-17081.25
null,null,Midway,202387,2396.21,-16559.86
null,null,Midway,137807,7782.78,-16195.95
null,null,Midway,225194,6549.58,-16147.23
null,null,Midway,113469,3692.95,-15466.79
null,null,Midway,63843,4618.96,-15264.06
null,null,Midway,425818,1546.69,-14435.98
null,null,Midway,169244,5275.05,-14010.85
null,null,Midway,368741,3543.77,-13898.22
null,null,Midway,384112,0.00,-13587.42
null,null,Midway,329606,2692.69,-13065.67
null,null,Midway,123089,162.42,-13007.05
null,null,Midway,86777,1596.97,-12846.14
null,null,Midway,198114,3285.44,-12478.79
null,null,Midway,14744,0.00,-12372.24
null,null,Midway,89072,808.21,-12360.54
null,null,Midway,25922,858.24,-12356.26
null,null,Midway,373857,602.32,-12156.23
null,null,Midway,137083,4833.01,-12086.19
null,null,Midway,206163,1574.57,-12050.74
null,null,Midway,441684,6524.90,-12047.38
null,null,Midway,385006,1411.49,-11519.60
null,null,Midway,254449,2069.49,-11271.94
null,null,Midway,356722,1322.96,-11075.78
null,null,Midway,41284,1899.82,-10472.72
null,null,Midway,99113,1343.86,-10399.20
null,null,Midway,373191,0.00,-10130.24
null,null,Midway,131364,3572.75,-10108.37
null,null,Midway,474523,13965.00,-10108.20
null,null,Midway,158186,1216.80,-10053.54
null,null,Midway,413987,3599.14,-9985.24
null,null,Midway,277157,1485.69,-9928.68
null,null,Midway,416636,2626.12,-9761.29
null,null,Midway,365251,1437.97,-9708.03
null,null,Midway,142418,2936.25,-8965.27
null,null,Midway,189929,1413.48,-8915.11
null,null,Midway,221848,5013.41,-8740.44
null,null,Midway,179891,6492.28,-8707.75
null,null,Midway,162919,1416.16,-8691.55
null,null,Midway,63357,6119.54,-8575.25
null,null,Midway,393517,190.26,-8564.19
null,null,Midway,412834,1381.12,-8556.58
null,null,Midway,478508,654.92,-8465.13
null,null,Midway,432394,1095.39,-8098.30
null,null,Midway,315836,339.87,-8091.80
null,null,Midway,26839,930.16,-8040.67
null,null,Midway,332882,2972.91,-7940.65
null,null,Midway,130404,1458.52,-7809.09
null,null,Midway,350721,1046.60,-7784.84
null,null,Midway,466521,0.00,-7692.76
null,null,Midway,457228,633.47,-7672.31
null,null,Midway,397258,2319.12,-7570.35
null,null,Midway,1563,3118.81,-7490.53
null,null,Midway,208195,2147.68,-7369.82
null,null,Midway,410905,5799.78,-7354.50
