ps_partkey,value
329355,19679082.72
182657,19120374.33
233511,18700915.31
178583,17833932.42
102936,16982284.20
283466,16634140.57
35615,16459995.21
259008,16389836.01
235521,16094066.50
109933,16024871.36
282927,15925201.77
179837,15577002.28
75148,15531496.55
81584,15446366.19
391247,15394854.94
223902,15389317.90
353864,15103754.14
268823,15072058.85
285241,15017676.72
169661,14862425.28
396720,14658228.33
193803,14600116.14
382286,14344420.95
311787,14334372.58
52629,14327636.81
194962,14279764.63
382008,14211758.91
234322,14154316.75
364292,14072727.71
33258,13997982.63
174938,13788776.01
210944,13772512.02
72798,13733870.13
122939,13706271.68
200436,13648924.71
250100,13644088.78
313069,13636334.92
58110,13547499.45
229166,13486630.64
387201,13474962.58
301343,13471392.40
220179,13431555.84
86914,13395098.66
336419,13382756.64
297654,13355117.46
13516,13341054.88
284777,13251949.61
394627,13229967.98
53802,13169318.65
127227,13152112.58
28705,13151723.88
370367,13111508.28
278248,13109956.90
361435,13039165.58
210456,13023705.70
319391,13020954.33
330376,12992280.89
89008,12975793.61
343752,12924015.04
384134,12903227.95
163242,12843636.52
278670,12836836.77
180386,12755030.88
97526,12686984.07
113930,12682754.89
177931,12641391.73
46712,12640297.02
56771,12606895.36
177466,12606398.39
5181,12598334.24
174932,12591892.16
14242,12578403.95
214826,12558264.69
213506,12551992.75
368324,12518119.98
137083,12510712.48
113628,12447834.07
18670,12408989.73
368188,12388162.85
187593,12382575.92
156756,12380158.04
296982,12350743.04
38805,12331053.26
78753,12301856.69
200383,12286095.84
218516,12276328.18
230157,12253932.67
78440,12253518.88
221482,12239102.86
13114,12214269.60
104851,12199672.23
71777,12129720.77
248829,12116829.04
200179,12097250.24
187638,12078844.53
375945,12053820.58
306955,12005252.03
126948,11985455.86
180677,11973040.79
273790,11962723.69
1489,11915375.81
332315,11910418.10
93891,11909969.73
123670,11822329.14
3516,11799710.44
332223,11797465.37
117213,11794165.86
143107,11793281.12
254298,11793137.75
57863,11790879.48
245041,11774868.89
254196,11768351.36
228209,11736387.65
399191,11734515.80
152651,11720387.70
344191,11716325.96
317605,11709856.40
183798,11708277.54
171077,11623261.91
1966,11613969.26
353096,11607701.50
149732,11601347.20
14586,11595100.06
332148,11577991.29
338141,11553493.32
102814,11532353.73
180415,11526383.42
9191,11489052.52
151536,11473116.31
86588,11436380.48
323466,11381652.30
316547,11347413.74
288823,11330964.30
38914,11318209.68
313777,11309709.98
311070,11297505.82
349306,11276282.22
233975,11271137.72
123498,11246420.75
58803,11235039.64
90126,11215643.30
373917,11205483.97
202213,11199500.99
253972,11198751.40
260408,11198176.66
109701,11147220.21
233503,11143958.98
88376,11116127.37
190493,11098889.16
149170,11098518.64
363615,11096623.45
104507,11085259.08
364413,11081650.50
125945,11081164.41
346606,11073821.76
372223,11058848.42
190568,11028771.29
46786,11011196.71
145874,11007469.57
103501,11003883.35
266793,10992496.26
360597,10928344.05
58960,10923961.12
278911,10889009.17
256699,10886776.22
270382,10871610.55
22488,10854633.98
141107,10832195.46
303686,10823291.82
119448,10823020.06
48742,10821469.97
206195,10803381.83
337979,10788922.02
141763,10771355.56
280931,10764800.37
223862,10745559.92
369791,10740717.75
396989,10729866.02
247829,10722718.44
258583,10707679.16
135616,10685680.48
325749,10659344.37
39321,10652127.06
148619,10649419.60
394704,10647265.67
312590,10641350.18
393586,10640961.30
62052,10638144.61
309146,10636767.77
78895,10608369.80
139467,10602683.56
71717,10593653.17
363914,10583328.41
168970,10537709.39
305341,10494597.78
284296,10480746.87
302620,10471400.54
261780,10461385.02
378805,10440107.14
34826,10433536.45
295944,10422166.05
149321,10421970.75
374693,10417191.58
327132,10415591.10
88740,10412331.01
278803,10408763.43
135674,10408078.01
152392,10398941.30
119401,10398212.73
278679,10397474.12
124160,10384932.79
236921,10371630.88
392450,10359038.16
251954,10340723.16
278818,10324578.87
379978,10322124.75
321840,10318938.23
277656,10311079.13
186372,10307978.52
36487,10298786.44
52955,10263069.63
291901,10254741.46
40134,10247624.74
306,10246688.84
260622,10238776.20
312043,10237241.99
4731,10234699.84
330354,10226337.30
58818,10197973.19
233937,10196967.06
249155,10188441.06
19401,10183007.37
91477,10170850.24
293744,10166616.72
123388,10162362.53
98574,10151150.94
215426,10147518.77
121671,10126397.73
297212,10112292.01
130031,10107104.30
76237,10096608.87
15945,10093232.95
148544,10091343.08
164403,10076144.53
179677,10043684.34
327829,10042085.52
155257,10027180.43
34177,10020753.37
108982,10016433.90
163962,10010671.05
390364,10005284.43
348847,9985142.52
99685,9969549.74
166469,9967782.57
206077,9965064.02
264345,9954343.84
106653,9953354.25
142292,9950927.08
15271,9949842.29
228961,9948386.88
373930,9942020.16
389346,9929650.76
239180,9929327.43
151713,9926468.46
128918,9925891.34
28493,9924056.80
369853,9915254.45
264398,9913885.38
119129,9911481.17
269919,9910387.44
284044,9907160.92
36489,9896571.25
43242,9889519.92
289791,9889368.36
48807,9886195.19
384995,9885963.28
81468,9885132.60
118609,9883329.08
51886,9880558.80
96723,9873500.26
116216,9871256.89
24692,9868913.37
40389,9867774.27
289150,9863602.32
339483,9842832.33
145357,9841081.77
110466,9840770.28
222598,9839565.05
