c_name,c_custkey,o_orderkey,o_orderdate,o_totalprice,sum
Customer#000256240,256240,4722021,1994-04-07,543948.47,323.00
Customer#000192203,192203,5984582,1992-03-16,539085.20,312.00
Customer#000273004,273004,11785570,1996-07-18,535097.55,303.00
Customer#000198385,198385,8574884,1992-07-04,530902.09,308.00
Customer#000186325,186325,9436480,1992-05-22,523925.49,311.00
Customer#000048682,48682,1474818,1992-11-15,522718.60,302.00
Customer#000027880,27880,2232932,1997-04-13,519887.44,304.00
Customer#000082297,82297,8231942,1993-02-06,516398.50,302.00
Customer#000176644,176644,10889601,1992-05-22,513824.71,306.00
Customer#000258475,258475,7125602,1994-07-08,509018.85,301.00
Customer#000082924,82924,8639938,1996-08-30,506857.55,301.00
Customer#000289234,289234,3043270,1997-02-12,506502.67,317.00
Customer#000257966,257966,10184165,1992-06-15,500779.45,311.00
Customer#000231161,231161,6082306,1995-07-07,499300.65,301.00
Customer#000017590,17590,10805828,1997-07-29,499282.79,316.00
Customer#000012872,12872,7235014,1998-03-09,498544.92,323.00
Customer#000007132,7132,2329187,1998-01-04,497819.15,304.00
Customer#000154520,154520,1436544,1992-09-12,497547.16,307.00
Customer#000133079,133079,7810823,1998-01-05,497225.42,324.00
Customer#000085928,85928,9816576,1997-06-06,493077.26,308.00
Customer#000259930,259930,6517825,1993-06-19,492510.43,304.00
Customer#000035489,35489,6882,1997-04-09,492020.59,303.00
Customer#000021964,21964,10408580,1994-09-03,491756.49,320.00
Customer#000264373,264373,7165026,1995-05-29,489832.54,304.00
Customer#000273143,273143,2761378,1996-05-31,487706.65,301.00
Customer#000294394,294394,1263015,1997-02-02,487266.35,320.00
Customer#000253292,253292,7456839,1994-07-14,487026.15,311.00
Customer#000066560,66560,6091649,1992-06-24,484643.21,305.00
Customer#000258757,258757,4720454,1997-06-07,483065.20,303.00
Customer#000133438,133438,6515330,1997-01-27,481858.58,307.00
Customer#000024502,24502,735366,1993-11-24,481339.95,309.00
Customer#000032767,32767,502886,1994-04-12,479519.45,312.00
Customer#000100013,100013,2366755,1996-12-09,478797.19,302.00
Customer#000066797,66797,11028230,1996-08-10,478260.32,302.00
Customer#000021881,21881,10612710,1995-02-05,477909.93,319.00
Customer#000232087,232087,8754087,1996-01-21,477273.91,306.00
Customer#000118958,118958,8028004,1996-04-11,477088.34,302.00
