nation,o_year,sum_profit
ALGERIA                  ,1998,52527810.5742
ALGERIA                  ,1997,91379202.6400
ALGERIA                  ,1996,93836197.0657
ALGERIA                  ,1995,89800564.5350
ALGERIA                  ,1994,89526473.0594
ALGERIA                  ,1993,87920033.5285
ALGERIA                  ,1992,93186212.2982
ARGENTINA                ,1998,55528362.3379
ARGENTINA                ,1997,99194949.7362
ARGENTINA                ,1996,100693326.1181
ARGENTINA                ,1995,96543938.7811
ARGENTINA                ,1994,96674433.3986
ARGENTINA                ,1993,100203965.6454
ARGENTINA                ,1992,94973581.3441
BRAZIL                   ,1998,55584556.5540
BRAZIL                   ,1997,95448069.9498
BRAZIL                   ,1996,93489511.9722
BRAZIL                   ,1995,92535435.1848
BRAZIL                   ,1994,95892624.3040
BRAZIL                   ,1993,95655670.9279
BRAZIL                   ,1992,95986997.6678
CANADA                   ,1998,55915189.5014
CANADA                   ,1997,96363457.5791
CANADA                   ,1996,97861347.8174
CANADA                   ,1995,99821786.0293
CANADA                   ,1994,96735489.1138
CANADA                   ,1993,98726592.6429
CANADA                   ,1992,97133604.5836
CHINA                    ,1998,57379731.1177
CHINA                    ,1997,99751222.6081
CHINA                    ,1996,95902314.3640
CHINA                    ,1995,97360190.5599
CHINA                    ,1994,98719525.2913
CHINA                    ,1993,97850232.5805
CHINA                    ,1992,94009013.6336
EGYPT                    ,1998,53124076.5345
EGYPT                    ,1997,91183512.1216
EGYPT                    ,1996,90957680.8029
EGYPT                    ,1995,94312762.2279
EGYPT                    ,1994,93033521.0365
EGYPT                    ,1993,90796688.4656
EGYPT                    ,1992,88710915.5233
ETHIOPIA                 ,1998,48656138.0836
ETHIOPIA                 ,1997,84671932.3152
ETHIOPIA                 ,1996,86850659.8959
ETHIOPIA                 ,1995,87921106.0793
ETHIOPIA                 ,1994,86080771.1578
ETHIOPIA                 ,1993,83497073.5683
ETHIOPIA                 ,1992,86793033.6404
FRANCE                   ,1998,53148751.9018
FRANCE                   ,1997,89141623.7587
FRANCE                   ,1996,90951561.5435
FRANCE                   ,1995,88914620.6160
