time,type,result,userid,username,database,client_conninfo,object_name,detail_info
2023-07-05 02:01:53+08,dml_action_select,ok,24587,pm,postgres,gsql@[local],*RESULT*,select current_timestamp;
2023-07-05 02:02:50+08,ddl_database,ok,24587,pm,postgres,gsql@[local],db_school,CREATE DATABASE db_school;
2023-07-05 02:03:02+08,login_failed,failed,24587,pm,db_school,[unknown]@[local],db_school,login db(db_school)failed with no password
2023-07-05 02:03:07+08,login_success,ok,24587,pm,db_school,gsql@[local],db_school,"login db(db_school) success,the current user is:pm"
2023-07-05 02:03:07+08,dml_action_select,ok,24587,pm,db_school,gsql@[local],pg_settings,"select name, setting from pg_settings where name in ('connection_info')"
2023-07-05 02:03:07+08,set_parameter,ok,24587,pm,db_school,gsql@[local],connection_info,"SET connection_info = '{""driver_name"":""libpq"",""driver_version"":""(GaussDB Kernel V500R002C00 build ) compiled at 2022-12-27 22:27:13 commit 0 last mr  ""}'"
2023-07-05 02:03:07+08,user_logout,ok,24587,pm,postgres,gsql@[local],postgres,logout db(postgres) success
2023-07-05 02:07:20+08,ddl_user,ok,24587,pm,db_school,gsql@[local],t_coder,CREATE USER t_coder WITH PASSWORD '********';
2023-07-05 02:07:46+08,ddl_user,ok,24587,pm,db_school,gsql@[local],s_coder,CREATE USER s_coder WITH PASSWORD '********';
2023-07-05 02:08:05+08,ddl_user,ok,24587,pm,db_school,gsql@[local],affair,CREATE USER affair WITH PASSWORD '********';
2023-07-05 02:08:18+08,dml_action_select,ok,24587,pm,db_school,gsql@[local],pg_user,SELECT * FROM pg_user;
2023-07-05 02:09:32+08,login_success,ok,24587,pm,db_school,[unknown]@10.0.2.2,db_school,"login db(db_school) success,the current user is:pm"
2023-07-05 02:09:32+08,set_parameter,ok,24587,pm,db_school,[unknown]@10.0.2.2,extra_float_digits,SET extra_float_digits = 3
2023-07-05 02:09:32+08,set_parameter,ok,24587,pm,db_school,PostgreSQL JDBC Driver@10.0.2.2,application_name,SET application_name = 'PostgreSQL JDBC Driver'
2023-07-05 02:09:32+08,set_parameter,ok,24587,pm,db_school,DBeaver 22.2.2 - Main <db_school>@10.0.2.2,application_name,SET application_name = 'DBeaver 22.2.2 - Main <db_school>'
