id,date,username,name_id,login,sys,db,insert_all,insert_score,insert_student,insert_teacher,sel_info,sel_score
1,2023-07-05,affair,1,3,0,0,3,0,1,1,5,0
2,2023-07-05,pm,2,8,34,8,0,0,0,0,1,0
3,2023-07-05,s_coder,3,2,0,0,0,0,0,0,152,0
4,2023-07-05,t_coder,4,1,0,0,0,0,0,0,18,0
5,2023-07-06,pm,2,7,30,0,0,0,0,0,0,4
6,2023-07-06,s_coder,3,3,0,0,0,0,0,0,145,40
7,2023-07-06,t_coder,4,4,0,0,210,210,0,0,413,5
8,2023-07-07,pm,2,6,29,0,0,0,0,0,0,0
9,2023-07-07,s_coder,3,2,0,0,0,0,0,0,203,0
10,2023-07-07,t_coder,4,1,0,0,0,0,0,0,28,0
11,2023-07-08,pm,2,10,43,0,0,0,0,0,0,0
12,2023-07-08,s_coder,3,2,0,0,0,0,0,0,195,0
13,2023-07-08,t_coder,4,1,0,0,0,0,0,0,21,0
14,2023-07-09,pm,2,5,22,0,0,0,0,0,0,0
15,2023-07-09,s_coder,3,2,0,0,0,0,0,0,186,0
16,2023-07-09,t_coder,4,1,0,0,0,0,0,0,24,0
17,2023-07-06,affair,1,1,0,0,1,0,1,0,0,0
18,2023-07-07,affair,1,1,0,0,2,0,1,1,2,0
19,2023-07-08,affair,1,2,0,0,2,0,0,2,0,0
20,2023-07-09,affair,1,3,0,0,3,0,0,1,2,0
